lang,method,attribute,supplement,term_type,accuracy
Czech,plurality,True,DT,2gram-no-hash,0.87
Czech,plurality,True,RF,missing,0.87
Czech,plurality,True,NN,2gram-no-hash,0.86
Czech,plurality,False,DT,2gram-no-hash,0.77
Czech,plurality,False,RF,missing,0.80
Czech,plurality,False,NN,2gram-no-hash,0.78
Czech,plurality,True,DT,3gram-no-hash,0.85
Czech,plurality,True,RF,missing,0.87
Czech,plurality,True,NN,3gram-no-hash,0.87
Czech,plurality,False,DT,3gram-no-hash,0.84
Czech,plurality,False,RF,missing,0.84
Czech,plurality,False,NN,3gram-no-hash,0.81
Czech,plurality,True,DT,4gram-no-hash,0.89
Czech,plurality,True,RF,missing,0.88
Czech,plurality,True,NN,4gram-no-hash,0.89
Czech,plurality,False,DT,4gram-no-hash,0.83
Czech,plurality,False,RF,missing,0.85
Czech,plurality,False,NN,4gram-no-hash,0.78
Czech,plurality,True,DT,skippy2gram-no-hash,0.87
Czech,plurality,True,RF,missing,0.91
Czech,plurality,True,NN,skippy2gram-no-hash,0.89
Czech,plurality,False,DT,skippy2gram-no-hash,0.83
Czech,plurality,False,RF,missing,0.85
Czech,plurality,False,NN,skippy2gram-no-hash,0.83
Czech,plurality,True,DT,skippy3gram-no-hash,0.82
Czech,plurality,True,RF,missing,0.83
Czech,plurality,True,NN,skippy3gram-no-hash,0.85
Czech,plurality,False,DT,skippy3gram-no-hash,0.82
Czech,plurality,False,RF,missing,0.83
Czech,plurality,False,NN,skippy3gram-no-hash,0.86
Czech,plurality,True,DT,skippy4gram-no-hash,0.80
Czech,plurality,True,RF,missing,0.87
Czech,plurality,True,NN,skippy4gram-no-hash,0.87
Czech,plurality,False,DT,skippy4gram-no-hash,0.82
Czech,plurality,False,RF,missing,0.80
Czech,plurality,False,NN,skippy4gram-no-hash,0.81
Czech,plurality,True,DT,2gram-hash-at-both,0.87
Czech,plurality,True,RF,missing,0.91
Czech,plurality,True,NN,2gram-hash-at-both,0.94
Czech,plurality,False,DT,2gram-hash-at-both,0.84
Czech,plurality,False,RF,missing,0.85
Czech,plurality,False,NN,2gram-hash-at-both,0.86
Czech,plurality,True,DT,3gram-hash-at-both,0.85
Czech,plurality,True,RF,missing,0.89
Czech,plurality,True,NN,3gram-hash-at-both,0.91
Czech,plurality,False,DT,3gram-hash-at-both,0.80
Czech,plurality,False,RF,missing,0.81
Czech,plurality,False,NN,3gram-hash-at-both,0.82
Czech,plurality,True,DT,4gram-hash-at-both,0.84
Czech,plurality,True,RF,missing,0.87
Czech,plurality,True,NN,4gram-hash-at-both,0.86
Czech,plurality,False,DT,4gram-hash-at-both,0.77
Czech,plurality,False,RF,missing,0.83
Czech,plurality,False,NN,4gram-hash-at-both,0.80
Czech,plurality,True,DT,skippy2gram-hash-at-both,0.89
Czech,plurality,True,RF,missing,0.89
Czech,plurality,True,NN,skippy2gram-hash-at-both,0.88
Czech,plurality,False,DT,skippy2gram-hash-at-both,0.83
Czech,plurality,False,RF,missing,0.85
Czech,plurality,False,NN,skippy2gram-hash-at-both,0.79
Czech,plurality,True,DT,skippy3gram-hash-at-both,0.79
Czech,plurality,True,RF,missing,0.86
Czech,plurality,True,NN,skippy3gram-hash-at-both,0.87
Czech,plurality,False,DT,skippy3gram-hash-at-both,0.81
Czech,plurality,False,RF,missing,0.83
Czech,plurality,False,NN,skippy3gram-hash-at-both,0.85
Czech,plurality,True,DT,skippy4gram-hash-at-both,0.86
Czech,plurality,True,RF,missing,0.90
Czech,plurality,True,NN,skippy4gram-hash-at-both,0.88
Czech,plurality,False,DT,skippy4gram-hash-at-both,0.80
Czech,plurality,False,RF,missing,0.81
Czech,plurality,False,NN,skippy4gram-hash-at-both,0.80
